-63, -159, 230, 42, 190, 4853, -92
-63, -159, 230, 42, 190, 4853, -92
-63, -159, 230, 42, 190, 4853, -92
-58, -79, 103, 234, 190, 4853, -92
-58, -79, 103, 234, 190, 4853, -92
-58, -79, 103, 234, 190, 4853, -92
-58, -79, 103, 234, -31, 4853, -92
-58, -79, 103, 234, 190, 4853, -92
-58, -79, 103, 234, 190, 4853, -92
-58, -79, 103, 234, -114, 4853, -92
-58, -79, 103, 234, -114, 4853, -92
-58, -79, 103, 234, 190, 4853, -92
-58, -79, 103, 234, 190, 4853, -92
60, -100, 100, 177, 300, 5000, -100
-4, -147, -22, 250, 300, 5000, -100
114, -79, -11, 39, 168, 4900, -164
114, -79, -212, 39, 168, 4900, -164
114, -79, -11, 39, 168, 4900, -164
114, -249, -147, 39, 168, 4900, -164
114, -249, -138, 39, 168, 4900, -164
114, -79, -11, 39, 168, 4900, -164
114, -249, -138, 39, 168, 4900, -164
114, -79, -11, 39, 168, 4900, -164
114, 227, -138, 39, 168, 176, -164
114, -79, -212, 39, 168, 204, -164
114, -79, -11, 39, 168, 4900, -164
114, -79, -256, 39, 168, 4900, -164
114, -249, -138, 39, 168, 176, -164
